Timestamp,Samsung,Telefonica,Allianz,Total,Bayer,Tesla,Airbus,Apple,BASF,BMW,Google
2017-09-27,0,1,1,0,1,0,1,1,1,0,0
2017-09-28,1,1,1,1,1,0,1,1,1,1,0
2017-09-29,1,1,0,0,1,0,1,1,1,0,0
2017-10-10,1,0,1,1,1,0,1,1,1,0,0
2017-10-11,1,0,1,1,1,1,1,1,1,1,0
2017-10-12,0,1,1,0,1,0,1,1,1,1,0
2017-10-13,1,0,1,0,1,0,1,1,1,0,0
2017-10-16,1,1,1,1,1,1,1,1,1,1,1
2017-10-17,1,0,0,0,1,0,1,1,1,0,0
2017-10-18,0,0,1,0,1,1,1,1,1,0,0
2017-10-19,1,0,1,0,1,1,1,1,1,1,1
2017-10-20,0,0,1,0,1,0,1,1,1,0,0
2017-10-23,1,1,1,1,1,1,1,1,1,0,1
2017-10-24,1,1,1,1,1,1,1,1,1,0,0
2017-10-25,1,0,1,0,1,1,1,1,1,0,0
2017-10-26,1,1,1,0,1,0,1,1,1,0,1
2017-10-27,1,1,1,0,1,0,1,1,1,0,0
2017-10-30,0,0,1,0,1,1,1,1,1,0,0
2017-10-31,1,1,1,1,1,1,1,1,1,0,0
2017-11-01,0,1,1,1,1,0,1,1,1,0,0
2017-11-02,1,0,1,0,1,0,0,0,1,0,0
2017-11-03,1,0,1,0,1,1,1,1,1,0,0
2017-11-06,0,1,1,1,1,1,1,1,1,0,0
2017-11-07,1,1,1,1,1,1,1,1,1,0,0
2017-11-08,1,1,1,1,1,0,1,1,1,0,0
2017-11-09,0,1,1,0,1,0,1,1,1,0,0
2017-11-10,0,1,1,1,1,1,1,1,1,1,1
2017-11-13,0,0,1,0,1,0,1,1,1,1,1
2017-11-14,1,1,1,1,1,1,1,1,1,0,0
2017-11-15,0,0,1,0,1,0,1,1,1,0,0
2017-11-16,1,0,1,1,1,0,1,1,1,0,0
2017-11-17,1,0,1,0,1,0,1,1,1,0,0
2017-11-20,1,1,1,1,1,1,1,1,1,0,1
2017-11-21,1,1,1,0,1,1,1,1,1,0,0
2017-11-22,1,1,1,0,1,1,1,1,1,1,1
2017-11-24,1,1,1,0,1,1,1,1,1,1,0
2017-11-27,1,1,1,1,1,1,1,1,1,0,0
2017-11-28,1,1,1,0,1,1,1,1,1,0,0
2017-11-29,1,0,1,1,1,1,1,1,1,1,0
2017-11-30,1,1,1,0,1,0,1,1,1,0,1
2017-12-01,1,1,1,1,1,1,1,1,1,0,0
2017-12-04,1,0,1,1,1,1,1,1,1,0,0
2017-12-05,0,0,1,1,1,1,1,1,1,1,0
2017-12-06,1,1,1,0,1,1,1,1,1,0,0
2017-12-07,1,0,1,0,1,0,1,1,1,0,0
2017-12-08,1,0,1,1,1,0,1,1,1,0,0
2017-12-11,1,0,1,0,1,1,1,0,1,0,0
2017-12-12,1,0,1,0,1,0,1,1,1,1,0
2017-12-13,1,1,1,0,1,0,1,1,1,1,0
2017-12-14,1,0,0,0,1,0,1,1,1,0,0
2017-12-15,1,1,0,0,1,0,1,1,1,1,0
2017-12-18,0,0,1,0,1,0,1,1,1,0,0
2017-12-19,1,1,1,1,1,1,1,1,1,1,1
2017-12-21,1,0,1,0,1,0,1,0,1,0,0
2017-12-22,1,1,1,1,1,1,1,1,1,0,1
2017-12-27,1,0,1,0,1,0,1,1,1,1,0
2017-12-28,0,1,1,1,1,1,1,1,1,0,0
2018-01-02,1,0,1,1,1,0,1,1,1,0,0
2018-01-03,1,1,1,1,1,0,1,1,1,0,0
2018-01-04,1,1,1,0,1,1,1,1,1,0,0
2018-01-05,0,0,1,0,1,1,1,1,1,0,0
2018-01-08,1,1,1,1,1,1,1,1,1,0,1
2018-01-09,1,0,1,1,1,0,1,0,1,0,0
2018-01-10,1,1,1,1,1,1,1,1,1,0,0
2018-01-11,1,0,1,0,1,1,1,1,1,0,1
2018-01-12,1,0,1,0,1,0,1,1,1,0,0
2018-01-16,1,1,1,1,1,0,1,1,1,0,1
2018-01-17,1,1,1,0,1,1,1,1,1,1,1
2018-01-18,1,1,1,0,1,0,1,1,1,1,0
2018-01-19,1,0,1,0,1,1,1,1,1,0,0
2018-01-22,1,1,1,0,1,1,1,1,1,1,1
2018-01-23,0,1,1,0,1,1,1,1,1,0,0
2018-01-24,1,1,1,0,1,1,1,1,1,0,0
2018-01-25,1,0,1,1,1,1,0,1,1,0,0
2018-01-26,1,0,1,0,1,0,1,1,1,1,1
2018-01-29,1,0,1,1,1,0,1,1,1,0,1
2018-01-30,1,0,1,1,1,0,1,1,1,1,0
2018-01-31,1,0,0,1,1,0,1,1,1,0,0
2018-02-01,0,0,1,0,1,0,1,1,1,1,0
2018-02-02,0,0,1,0,1,0,1,1,1,1,0
2018-02-05,0,1,1,0,1,1,1,1,1,0,0
2018-02-06,0,1,1,1,1,1,1,1,1,1,1
2018-02-07,0,1,1,0,1,0,1,1,1,0,0
2018-02-08,0,0,1,0,1,0,1,1,1,0,0
2018-02-09,1,1,1,1,1,0,1,1,1,0,0
2018-02-12,1,1,1,0,1,1,1,0,1,1,0
2018-02-13,0,0,1,0,1,0,1,0,1,0,0
2018-02-14,0,1,1,0,1,0,1,1,1,1,0
2018-02-20,1,0,0,1,1,0,1,1,1,0,0
2018-02-21,1,1,1,1,1,1,1,0,1,0,0
2018-02-22,1,0,1,0,1,0,1,0,1,1,0
2018-02-23,0,0,1,0,1,0,1,1,1,0,0
2018-02-26,1,1,1,1,1,1,1,1,1,1,1
2018-02-27,0,1,1,0,1,1,1,1,1,0,1
2018-02-28,1,1,1,1,1,0,1,1,1,1,0
2018-03-02,1,1,1,0,1,1,1,1,1,1,0
2018-03-05,1,1,1,1,1,0,0,1,1,1,0
2018-03-06,1,0,1,1,1,0,1,1,1,0,0
2018-03-07,1,1,1,0,1,1,1,1,1,1,1
2018-03-08,0,1,1,0,1,0,1,1,1,0,0
2018-03-09,1,1,1,0,1,0,1,1,1,0,0
2018-03-12,0,0,1,0,1,0,1,1,1,0,1
2018-03-13,1,1,1,0,1,1,1,1,1,0,0
2018-03-14,1,1,1,0,1,0,1,1,1,0,0
2018-03-15,1,1,1,0,1,1,1,1,1,0,1
2018-03-16,1,0,1,0,1,0,1,1,1,0,0
2018-03-19,1,1,1,1,1,0,1,1,1,0,1
2018-03-20,1,0,1,0,1,0,1,0,1,1,0
2018-03-21,1,1,1,0,1,1,1,1,1,0,0
2018-03-22,1,0,1,0,1,1,1,1,1,0,0
2018-03-23,1,0,1,0,1,0,1,1,1,0,0
2018-03-26,0,1,1,1,1,1,1,1,1,0,0
2018-03-27,1,0,1,0,1,1,1,0,1,1,0
2018-03-28,1,1,1,1,1,0,1,1,1,0,0
2018-03-29,1,1,1,0,1,0,1,1,1,0,0
2018-04-03,1,0,1,0,1,0,1,1,1,1,0
2018-04-04,1,1,1,0,1,0,1,1,1,1,1
2018-04-05,1,0,0,0,1,0,1,1,1,0,0
2018-04-06,1,1,1,0,1,0,1,1,1,0,0
2018-04-09,1,1,0,0,1,1,1,0,1,0,0
2018-04-10,1,1,1,0,1,1,0,1,1,0,1
2018-04-11,1,0,1,0,1,0,1,1,1,0,0
2018-04-12,1,1,0,0,1,0,1,0,1,0,0
2018-04-13,1,1,1,0,1,0,1,1,1,1,0
2018-04-16,1,0,0,0,1,0,1,1,0,0,0
2018-04-17,1,1,1,0,1,1,1,0,1,0,0
2018-04-18,1,0,1,0,1,0,1,1,1,1,1
2018-04-19,1,1,1,1,1,1,1,1,1,1,0
2018-04-20,1,0,1,0,1,1,1,0,1,1,0
2018-04-23,1,0,0,0,1,0,1,1,1,1,0
2018-04-24,1,0,0,0,1,0,1,1,1,1,0
2018-04-25,1,0,1,0,1,0,1,1,1,0,0
2018-04-26,1,1,1,0,1,0,1,1,1,0,0
2018-04-27,1,1,1,0,1,1,1,1,1,1,0
2018-04-30,0,1,1,1,1,0,1,1,1,0,0
2018-05-02,1,1,1,0,1,0,1,1,1,1,0
2018-05-03,1,1,0,0,1,1,1,1,1,1,0
2018-05-04,0,0,1,0,1,0,1,1,1,0,0
2018-05-08,0,0,1,0,1,0,1,1,1,0,0
2018-05-09,0,0,1,0,1,0,1,1,1,0,0
2018-05-10,0,1,1,0,1,0,1,1,1,0,1
2018-05-11,1,1,1,0,1,0,1,1,0,0,0
2018-05-14,1,0,1,0,1,0,1,1,1,0,0
2018-05-15,1,1,1,0,1,1,1,0,1,1,0
2018-05-16,0,1,1,0,1,0,1,1,1,0,0
2018-05-17,0,1,0,0,1,1,1,0,1,0,0
2018-05-18,1,0,0,0,1,0,1,1,1,1,0
2018-05-21,1,0,1,0,1,0,1,0,1,0,0
2018-05-23,1,0,1,0,1,1,1,1,1,1,0
2018-05-24,1,0,1,0,1,0,1,1,1,0,0
2018-05-25,1,0,1,0,1,0,1,1,1,0,0
2018-05-29,0,0,1,0,1,1,1,1,1,0,0
2018-05-30,1,0,1,0,1,0,1,1,1,0,0
2018-05-31,0,1,1,1,1,0,1,1,1,1,0
2018-06-01,1,1,1,1,1,0,1,1,1,1,0
2018-06-04,1,0,1,0,1,0,1,1,1,0,0
2018-06-05,0,1,1,0,1,1,1,1,1,0,0
2018-06-07,0,1,1,0,1,1,1,1,1,0,0
2018-06-08,0,0,0,0,1,0,1,1,1,0,0
2018-06-11,0,0,1,0,1,0,1,1,1,1,0
2018-06-12,1,1,1,0,1,0,1,1,1,1,0
2018-06-14,1,0,0,0,1,0,1,1,1,1,1
2018-06-15,1,0,1,0,1,0,1,1,1,0,0
2018-06-18,1,1,1,0,1,0,1,1,1,1,1
